measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,1996,7.667429147,8.398377187,6.951669048
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1997,24152.95673,27559.79179,20906.75808
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,1997,3.79373549,4.328851386,3.28385096
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,1997,8.222300998,9.470865968,7.080849226
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1996,23367.7769,27004.32448,20122.73887
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,1996,3.771114855,4.357984487,3.247427422
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,1996,8.141396878,9.527837423,6.953174809
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,1996,122184.4348,125558.9732,117752.6512
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,1996,10.05210949,10.32973266,9.687506803
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1996,10.40049603,10.69110364,9.966275065
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,1997,122889.1135,126456.9426,118357.7002
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,1997,10.02287429,10.31386755,9.653290816
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1997,10.26414626,10.57722136,9.833176145
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,1997,60094.29024,65744.10024,54768.2002
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,1997,4.692849235,5.134050993,4.276927231
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,1997,7.808623346,8.519357507,7.115991815
Deaths,Global,Both,All ages,Breast cancer,Number,1999,461703.9377,479137.5395,441448.2205
Deaths,Global,Both,All ages,Breast cancer,Rate,1999,7.598924995,7.885854826,7.265547557
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1999,9.61670592,9.976529396,9.130982388
Deaths,High SDI,Both,All ages,Breast cancer,Number,1997,143800.9325,147697.8387,135780.629
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1997,16.62597309,17.07652551,15.69868181
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1997,12.41453541,12.73269219,11.76873112
Deaths,Global,Both,All ages,Breast cancer,Number,1998,451134.5758,467299.2496,432954.8261
Deaths,Global,Both,All ages,Breast cancer,Rate,1998,7.523179922,7.792744163,7.22001201
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1998,9.628959459,9.987884348,9.157529753
Deaths,Global,Both,All ages,Breast cancer,Number,2000,469528.2501,486407.8516,450234.9452
Deaths,Global,Both,All ages,Breast cancer,Rate,2000,7.627896559,7.90212043,7.314459968
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,2000,9.541249063,9.888855867,9.067079482
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,1999,127860.9347,131663.9458,123565.001
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,1999,10.25143583,10.55634776,9.907003114
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1999,10.25222787,10.5721689,9.82310382
Deaths,Middle SDI,Both,All ages,Breast cancer,Number,1997,92393.83886,97932.00564,87769.52677
Deaths,Middle SDI,Both,All ages,Breast cancer,Rate,1997,4.84939061,5.140067286,4.606678586
Deaths,Middle SDI,Both,Age-standardized,Breast cancer,Rate,1997,6.942464542,7.348879456,6.576425581
Deaths,High SDI,Both,All ages,Breast cancer,Number,1998,144301.1689,148270.1923,136142.2767
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1998,16.57035558,17.02612547,15.63345572
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1998,12.20790953,12.51980749,11.56717889
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,1998,123870.1346,127255.6893,119545.5545
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,1998,10.01644698,10.29021135,9.666750681
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1998,10.14957483,10.43421531,9.732418339
Deaths,Global,Both,All ages,Breast cancer,Number,2001,477704.3814,494074.5835,457670.9485
Deaths,Global,Both,All ages,Breast cancer,Rate,2001,7.661012784,7.923544033,7.339733785
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,2001,9.467213151,9.80425651,9.009895933
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1999,25667.05598,29219.14148,22300.45186
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,1999,3.830486153,4.360590359,3.328062717
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,1999,8.350538281,9.549793939,7.205889516
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1998,24965.99208,28442.0746,21711.38337
